3 Doors Down;Away from the sun;Cdg;qPYfhhi/zYL8xJHzs+rt6Pz/g6XMqv/q9qzQwcDYkok=
Hawthorne Heights;Ohio is for lovers;MidiCo;x1rLx7KwlBc6QRnmjjfoDfegFDA+JcyUSh2/e5LTMew=
Hawthorne Heights & Hawthorne Heights;Ohio is for lovers;MidiCo;6KqH/e5syZEOZbRIgWh/DQmAr9Tv1M/gCgB1bopzoDE=
Limp Bizkit;Behind blue eyes;Cdg;SUNIO1JrFDUPeCZbX1USKCB0NQQDUXkhZ35TQx8bXg8=
Saosin;(extra) you're no angel;Mp3;iaEEb36bbN9qS6Rf6YWcD46ckI5kq+2ZftxZL0882wo=
Saosin;07. seven years [acoustic];Mp3;bZAo7Hz7mJ1YxDuVViOFbKGeZ2I01051YYx5eeAfAwo=
Saosin;Mookies last christmas;Mp3;MUKP923kRC6OAxFiapYjg6Gk6gz+00t7cqvsFDGTJPg=
Saosin;Mookies last christmas;Mp3;OVR1td6G5X8SVnw9YMa8bDgOZUIR4N5ZDskOnFjMR/s=
Saosin;Third measurement in c [acoustic];Mp3;NusIaDKuFIdjPt+M50PVcFvGKCvooJa5RGqRmX+xOOA=
