Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. gracilidelineata ssp. gracilidelineata v. gracilidelineata,C367,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. gracilidelineata,,"150 km NW of Usakos, Namibia",,,,
L. gracilidelineata ssp. gracilidelineata v. gracilidelineata,C374,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. gracilidelineata,,"100 km S of Usakos, Namibia",,,,
L. gracilidelineata ssp. gracilidelineata v. gracilidelineata,C385,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. gracilidelineata,,"65 km E of Swakopmund, Namibia",,,,
L. gracilidelineata ssp. gracilidelineata v. gracilidelineata 'Ernst’s Witkop',C385A,FALSE,gracilidelineata,,W,,ssp. gracilidelineata,v. gracilidelineata,,"65 km ENE of Swakopmund, Namibia",,'Ernst’s Witkop',,'Ernst’s Witkop'
L. gracilidelineata ssp. gracilidelineata v. gracilidelineata (syn. streyi),C373,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. gracilidelineata,,"TL: 25 km SE of Fransfontein, Namibia",,,(syn. streyi),(syn. streyi)
L. gracilidelineata ssp. gracilidelineata v. waldroniae,C189,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. waldroniae,,"TL: 60 km SE of Swakopmund, Namibia",,,,
L. gracilidelineata ssp. gracilidelineata v. waldroniae,C243,FALSE,gracilidelineata,,Y,,ssp. gracilidelineata,v. waldroniae,,"70 km E of Swakopmund, Namibia",,,,
L. gracilidelineata ssp. gracilidelineata v. waldroniae 'Fritz’s W Lady',C189A,FALSE,gracilidelineata,,W,,ssp. gracilidelineata,v. waldroniae,,"TL: 60 km SE of Swakopmund, Namibia",,'Fritz’s W Lady',,'Fritz’s W Lady'
L. hallii v. hallii,C022,FALSE,hallii,,W,,,v. hallii,,"55 km SW of Prieska, South Africa",,,,
L. hallii v. hallii,C045,FALSE,hallii,,W,,,v. hallii,,"15 km SW of Upington, South Africa",,,,
L. hallii v. hallii,C050,FALSE,hallii,,W,,,v. hallii,,"15 km SE of Strydenburg, South Africa",,,,
L. hallii v. hallii,C052,FALSE,hallii,,W,,,v. hallii,,"25 km SSE of Hopetown, South Africa",,,,
L. hallii v. hallii,C090,FALSE,hallii,,W,,,v. hallii,,"50 km NW of Hopetown, South Africa",,,,
L. hallii v. hallii,C094,FALSE,hallii,,W,,,v. hallii,,"45 km SE of Prieska, South Africa",,,,
L. hallii v. hallii,C119,FALSE,hallii,,W,,,v. hallii,,"30 km WSW of Strydenburg, South Africa",,,,
L. hallii v. hallii,C158,FALSE,hallii,,W,,,v. hallii,,"55 km ENE of Vanwyksvlei, South Africa",,,,
L. hallii v. hallii,C174,FALSE,hallii,,W,,,v. hallii,,"25 km SE of Prieska, South Africa",,,,
L. hallii v. hallii,C176,FALSE,hallii,,W,,,v. hallii,,"20 km SE of Prieska, South Africa",,,,
L. hallii v. hallii,C318,FALSE,hallii,,W,,,v. hallii,,"45 km SSW of Prieska, South Africa",,,,
L. hallii v. hallii,C375,FALSE,hallii,,W,,,v. hallii,,"55 km N of Upington, South Africa",,,,
