Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. karasmontana ssp. karasmontana v. tischeri,C182,FALSE,karasmontana,,W,,ssp. karasmontana,v. tischeri,,"TL: 30 km NNE of Grünau, Namibia",,,,
L. lesliei ssp. burchellii,C302,FALSE,lesliei,,Y,,ssp. burchellii, ,,"TL: 20 km NNE of Douglas, South Africa",,,,
L. lesliei ssp. burchellii,C308,FALSE,lesliei,,Y,,ssp. burchellii, ,,"10 km NNE of Douglas, South Africa",,,,
L. lesliei ssp. lesliei v. hornii,C015,FALSE,lesliei,,Y,,ssp. lesliei,v. hornii,,"40 km SW of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. hornii,C364,FALSE,lesliei,,Y,,ssp. lesliei,v. hornii,,"TL: 45 km SSW of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. hornii 'Greenhorn',C015A,FALSE,lesliei,,Y,,ssp. lesliei,v. hornii,,"40 km SW of Kimberley, South Africa",,'Greenhorn',,'Greenhorn'
L. lesliei ssp. lesliei v. lesliei,C007,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"15 km S of Johannesburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C010,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"25 km SW of Lobatse, Botswana",,,,
L. lesliei ssp. lesliei v. lesliei,C018,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"Near Stella, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C026,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"60 km SW of Johannesburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C027,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"Near Bethlehem, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C028,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"10 km N of Harrismith, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C029,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"45 km NE of Vaalwater, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C031,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"10 km NE of Meyerton, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C033,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"45 km E of Pietersburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C115,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"5 km NW of Vryburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C138,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"Near Benoni, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C139,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"5 km E of Benoni, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C331,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"15 km SSE of Pretoria, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C342,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"10 km NE of Pretoria, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C343,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"Near Vanderbijlpark, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C344,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"Near Orkney, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C352,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"45 km E of Pietersburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei,C358,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"25 km W of Lobatse, Botswana",,,,
L. lesliei ssp. lesliei v. lesliei,C407,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"15 km N of Krugersdorp, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei 'Albiflora',C005A,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"TL: Near Warrenton, South Africa",,'Albiflora',,'Albiflora'
L. lesliei ssp. lesliei v. lesliei 'Albinica',C036A,FALSE,lesliei,,W,,ssp. lesliei,v. lesliei,,"TL: Near Warrenton, South Africa",,'Albinica',,'Albinica'
L. lesliei ssp. lesliei v. lesliei 'Storms’s Albinigold',C036B,FALSE,lesliei,,W,,ssp. lesliei,v. lesliei,,"Near Warrenton, South Africa",,'Storms’s Albinigold',,'Storms’s Albinigold'
L. lesliei ssp. lesliei v. lesliei (grey Form),C008,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(grey Form),"70 km W of Mafikeng, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (grey Form),C009,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(grey Form),"70 km W of Mafikeng, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (grey Form),C151,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(grey Form),"25 km NW of Christiana, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (grey Form),C359,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(grey Form),"115 km SW of Lobatse, Botswana",,,,
L. lesliei ssp. lesliei v. lesliei (Kimberley Form),C014,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Kimberley Form),"15 km NW of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Kimberley Form),C341,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Kimberley Form),"20 km NW of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Kimberley Form),C354,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Kimberley Form),"15 km NW of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Pietersburg Form),C030,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Pietersburg Form),"30 km NW of Pietersburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Pietersburg Form),C032,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Pietersburg Form),"10 km SE of Pietersburg, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (syn. luteoviridis),C020,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,,"TL: 15 km W of Magaliesburg, South Africa",,,(syn. luteoviridis),(syn. luteoviridis)
L. lesliei ssp. lesliei v. lesliei (Warrenton Form),C005,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Warrenton Form),"Near Warrenton, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Warrenton Form),C036,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Warrenton Form),"Near Warrenton, South Africa",,,,
L. lesliei ssp. lesliei v. lesliei (Warrenton Form),C096,FALSE,lesliei,,Y,,ssp. lesliei,v. lesliei,(Warrenton Form),"25 km N of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. mariae,C141,FALSE,lesliei,,Y,,ssp. lesliei,v. mariae,,"TL: 10 km SW of Boshof, South Africa",,,,
L. lesliei ssp. lesliei v. mariae,C152,FALSE,lesliei,,Y,,ssp. lesliei,v. mariae,,"30 km NNE of Kimberley, South Africa",,,,
L. lesliei ssp. lesliei v. minor,C006,FALSE,lesliei,,Y,,ssp. lesliei,v. minor,,"TL: 25 km SW of Swartruggens, South Africa",,,,
L. lesliei ssp. lesliei v. minor 'Witblom',C006A,FALSE,lesliei,,W,,ssp. lesliei,v. minor,,"25 km SW of Swartruggens, South Africa",,'Witblom',,'Witblom'
L. lesliei ssp. lesliei v. rubrobrunnea,C017,FALSE,lesliei,,Y,,ssp. lesliei,v. rubrobrunnea,,"TL: 5 km NW of Randfontein, South Africa",,,,
L. lesliei ssp. lesliei v. rubrobrunnea,C204,FALSE,lesliei,,Y,,ssp. lesliei,v. rubrobrunnea,,"5 km NW of Krugersdorp, South Africa",,,,
L. lesliei ssp. lesliei v. venteri,C001,FALSE,lesliei,,Y,,ssp. lesliei,v. venteri,,"30 km NW of Warrenton, South Africa",,,,
L. lesliei ssp. lesliei v. venteri,C047,FALSE,lesliei,,Y,,ssp. lesliei,v. venteri,,"TL: 30 km W of Warrenton, South Africa",,,,
L. lesliei ssp. lesliei v. venteri (syn. maraisii),C153,FALSE,lesliei,,Y,,ssp. lesliei,v. venteri,,"TL: 60 km NW of Kimberley, South Africa",,,(syn. maraisii),(syn. maraisii)
L. marmorata v. elisae,C214,FALSE,marmorata,,W,,,v. elisae,,"35 km SE of Vioolsdrif, South Africa",,,,
L. marmorata v. elisae,C251,FALSE,marmorata,,W,,,v. elisae,,"TL: 30 km SE of Vioolsdrif, South Africa",,,,
L. marmorata v. elisae,C252,FALSE,marmorata,,W,,,v. elisae,,"30 km SSE of Vioolsdrif, South Africa",,,,
L. marmorata v. marmorata,C163,FALSE,marmorata,,W,,,v. marmorata,,"25 km NE of Steinkopf, South Africa",,,,
L. marmorata v. marmorata,C305,FALSE,marmorata,,W,,,v. marmorata,,"40 km NNE of Steinkopf, South Africa",,,,
L. marmorata v. marmorata,C360,FALSE,marmorata,,W,,,v. marmorata,,"35 km NE of Steinkopf, South Africa",,,,
L. marmorata v. marmorata (syn. diutina),C260,FALSE,marmorata,,W,,,v. marmorata,,"15 km ENE of Steinkopf, South Africa",,,(syn. diutina),(syn. diutina)
L. marmorata v. marmorata (syn. framesii),C058,FALSE,marmorata,,W,,,v. marmorata,,"45 km ENE of Springbok, South Africa",,,(syn. framesii),(syn. framesii)
L. marmorata v. marmorata (syn. framesii),C365,FALSE,marmorata,,W,,,v. marmorata,,"60 km NE of Springbok, South Africa",,,(syn. framesii),(syn. framesii)
L. meyeri,C212,FALSE,meyeri,,YWC,,, ,,"TL: 40 km NNE of Port Nolloth, South Africa",,,,
L. meyeri,C272,FALSE,meyeri,,YWC,,, ,,"45 km NNE of Port Nolloth, South Africa",,,,
L. meyeri,C273,FALSE,meyeri,,YWC,,, ,,"55 km NNE of Port Nolloth, South Africa",,,,
L. meyeri,C419,FALSE,meyeri,,YWC,,, ,,"45 km NNE of Port Nolloth, South Africa",,,,
L. meyeri 'Hammeruby',C272A,FALSE,meyeri,,YWC,,,,,"TL: 45 km NNE of Port Nolloth, South Africa",,'Hammeruby',,'Hammeruby'
L. naureeniae,C304,FALSE,naureeniae,,YWC,,, ,,"TL: 60 km SE of Springbok, South Africa",,,,
L. olivacea v. nebrownii,C162B,FALSE,olivacea,,YWC,,,v. nebrownii,,"TL: 70 km WSW of Pofadder, South Africa",,,,
L. olivacea v. nebrownii,C403,FALSE,olivacea,,YWC,,,v. nebrownii,,"Near Aggeneys, South Africa",,,,
L. olivacea v. olivacea,C055,FALSE,olivacea,,YWC,,,v. olivacea,,"25 km SW of Pofadder, South Africa",,,,
L. olivacea v. olivacea,C109,FALSE,olivacea,,YWC,,,v. olivacea,,"10 km N of Pofadder, South Africa",,,,
L. optica,C081,FALSE,optica,,W,,, ,,"10 km W of Lüderitz, Namibia",,,,
L. optica,C275,FALSE,optica,,W,,, ,,"10 km N of Lüderitz, Namibia",,,,
L. optica,C276,FALSE,optica,,W,,, ,,"10 km S of Lüderitz, Namibia",,,,
L. optica,C277,FALSE,optica,,W,,, ,,"10 km SW of Lüderitz, Namibia",,,,
L. optica,C286,FALSE,optica,,W,,, ,,"10 km SW of Lüderitz, Namibia",,,,
L. optica,C288,FALSE,optica,,W,,, ,,"40 km SSE of Lüderitz, Namibia",,,,
L. optica,C289,FALSE,optica,,W,,, ,,"TL: 50 km S of Lüderitz, Namibia",,,,
L. optica,C290,FALSE,optica,,W,,, ,,"65 km S of Lüderitz, Namibia",,,,
L. optica,C292,FALSE,optica,,W,,, ,,"120 km SSE of Lüderitz, Namibia",,,,
L. optica,C294,FALSE,optica,,W,,, ,,"140 km SSE of Lüderitz, Namibia",,,,
L. optica,C307,FALSE,optica,,W,,, ,,"170 km SSE of Lüderitz, Namibia",,,,
L. optica,C310,FALSE,optica,,W,,, ,,"160 km SSE of Lüderitz, Namibia",,,,
L. optica,C404,FALSE,optica,,W,,, ,,"15 km N of Bogenfels, Namibia",,,,
L. optica,C414,FALSE,optica,,W,,, ,,"Near Diaz Point, Lüderitz, Namibia",,,,
L. optica 'Rubra',C081A,FALSE,optica,,W,,,,,"10 km W of Lüderitz, Namibia",,'Rubra',,'Rubra'
L. optica ‘Rubragold',C287,FALSE,optica,,YWC,,,,,"10 km SW of Lüderitz, Namibia",,‘Rubragold',,‘Rubragold'
L. optica (maculate Form),C291,FALSE,optica,,W,,,,(maculate Form),"100 km SSE of Lüderitz, Namibia",,,,
L. optica (maculate Form),C293,FALSE,optica,,W,,,,(maculate Form),"95 km SSE of Lüderitz, Namibia",,,,
L. optica (maculate Form),C311,FALSE,optica,,W,,,,(maculate Form),"45 km SE of Lüderitz, Namibia",,,,
L. otzeniana,C128,FALSE,otzeniana,,YWC,,, ,,"TL: 35 km NNW of Loeriesfontein, South Africa",,,,
L. otzeniana,C280,FALSE,otzeniana,,YWC,,, ,,"45 km NNW of Loeriesfontein, South Africa",,,,
L. otzeniana,C350,FALSE,otzeniana,,YWC,,, ,,"40 km NNW of Loeriesfontein, South Africa",,,,
L. otzeniana 'Aquamarine',C128A,TRUE,otzeniana,,YWC,,,,,"35 km NNW of Loeriesfontein, South Africa",,'Aquamarine',,'Aquamarine'
L. pseudotruncatella ssp. archerae,C104,FALSE,pseudotruncatella,,Y,,ssp. archerae, ,,"120 km NW of Maltahöhe, Namibia",,,,
L. pseudotruncatella ssp. archerae,C306,FALSE,pseudotruncatella,,Y,,ssp. archerae, ,,"TL: 120 km NW of Maltahöhe, Namibia",,,,
L. pseudotruncatella ssp. dendritica,C072,FALSE,pseudotruncatella,,Y,,ssp. dendritica, ,,"65 km WSW of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. dendritica,C073,FALSE,pseudotruncatella,,Y,,ssp. dendritica, ,,"95 km WSW of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. dendritica,C357,FALSE,pseudotruncatella,,Y,,ssp. dendritica, ,,"75 km SW of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. dendritica,C384,FALSE,pseudotruncatella,,Y,,ssp. dendritica, ,,"6 km S of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. dendritica (syn. farinosa),C245,FALSE,pseudotruncatella,,Y,,ssp. dendritica,,,"55 km SSW of Rehoboth, Namibia",,,(syn. farinosa),(syn. farinosa)
L. pseudotruncatella ssp. dendritica (syn. pulmonuncula),C071,FALSE,pseudotruncatella,,Y,,ssp. dendritica,,,"TL: 50 km WNW of Rehoboth, Namibia",,,(syn. pulmonuncula),(syn. pulmonuncula)
L. pseudotruncatella ssp. groendrayensis,C239,FALSE,pseudotruncatella,,Y,,ssp. groendrayensis, ,,"45 km SSE of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. groendrayensis,C244,FALSE,pseudotruncatella,,Y,,ssp. groendrayensis, ,,"TL: 50 km S of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. groendrayensis (Witkop Form),C246,FALSE,pseudotruncatella,,Y,,ssp. groendrayensis,,(Witkop Form),"55 km S of Rehoboth, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. elisabethiae,C187,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. elisabethiae,,"TL: 55 km ESE of Otjiwarongo, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella,C067,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"20 km ENE of Windhoek, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella,C070,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"30 km S of Windhoek, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella,C263,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"20 km W of Windhoek, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella,C315,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"20 km ENE of Windhoek, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella,C413,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"100 km W of Windhoek, Namibia",,,,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella (pallid Form),C264,FALSE,pseudotruncatella,,W,,ssp. pseudotruncatella,v. pseudotruncatella,(pallid Form),"60 km SSW of Windhoek, Namibia",,‘Albiflora',,
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella (syn. alpina),C068,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"35 km SSE of Windhoek, Namibia",,,(syn. alpina),(syn. alpina)
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella (syn. alpina),C381,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"TL: 30 km S of Windhoek, Namibia",,,(syn. alpina),(syn. alpina)
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella (syn. mundtii),C099,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"150 km NE of Windhoek, Namibia",,,(syn. mundtii),(syn. mundtii)
L. pseudotruncatella ssp. pseudotruncatella v. pseudotruncatella (syn. mundtii),C100,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. pseudotruncatella,,"135 km NE of Windhoek, Namibia",,,(syn. mundtii),(syn. mundtii)
L. pseudotruncatella ssp. pseudotruncatella v. riehmerae (syn. edithiae),C097,FALSE,pseudotruncatella,,Y,,ssp. pseudotruncatella,v. riehmerae,,"TL: 50 km SE of Windhoek, Namibia",,,(syn. edithiae),(syn. edithiae)
L. pseudotruncatella ssp. volkii,C069,FALSE,pseudotruncatella,,Y,,ssp. volkii, ,,"TL: 45 km S of Windhoek, Namibia",,,,
L. ruschiorum v. lineata,C312,FALSE,ruschiorum,,Y,,,v. lineata,,"50 km NE of Rocky Point, Namibia",,,,
L. ruschiorum v. lineata,C313,FALSE,ruschiorum,,Y,,,v. lineata,,"45 km N of Rocky Point, Namibia",,,,
L. ruschiorum v. lineata,C314,FALSE,ruschiorum,,Y,,,v. lineata,,"40 km NE of Cape Fria, Namibia",,,,
L. ruschiorum v. lineata,C380,FALSE,ruschiorum,,Y,,,v. lineata,,"50 km ENE of Rocky Point, Namibia",,,,
L. ruschiorum v. lineata,C386,FALSE,ruschiorum,,Y,,,v. lineata,,"40 km NNE of Rocky Point, Namibia",,,,
L. ruschiorum v. ruschiorum,C101,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"TL: 35 km NE of Swakopmund, Namibia",,,,
L. ruschiorum v. ruschiorum,C103,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"45 km ENE of Henties Bay, Namibia",,,,
L. ruschiorum v. ruschiorum,C241,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"65 km ENE of Henties Bay, Namibia",,,,
L. ruschiorum v. ruschiorum,C242,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"65 km ENE of Swakopmund, Namibia",,,,
L. ruschiorum v. ruschiorum,C387,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"8 km N of Rössing, Namibia",,,,
L. ruschiorum v. ruschiorum 'Silver Reed',C387A,FALSE,ruschiorum,,W,,,v. ruschiorum,,"8 km N of Rössing, Namibia",,'Silver Reed',,'Silver Reed'
L. ruschiorum v. ruschiorum (syn. nelii),C102,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"20 km E of Cape Cross, Namibia",,,(syn. nelii),(syn. nelii)
L. ruschiorum v. ruschiorum (syn. nelii),C240,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"25 km E of Cape Cross, Namibia",,,(syn. nelii),(syn. nelii)
L. ruschiorum v. ruschiorum (syn. nelii),C316,FALSE,ruschiorum,,Y,,,v. ruschiorum,,"Near Cape Cross, Namibia",,,(syn. nelii),(syn. nelii)
L. salicola,C034,FALSE,salicola,,W,,, ,,"TL: 10 km NW of Luckhoff, South Africa",,,,
L. salicola,C037,FALSE,salicola,,W,,, ,,"40 km SE of Hopetown, South Africa",,,,
L. salicola,C049,FALSE,salicola,,W,,, ,,"10 km NW of Petrusville, South Africa",,,,
L. salicola,C320,FALSE,salicola,,W,,, ,,"10 km WNW of Luckhoff, South Africa",,,,
L. salicola,C321,FALSE,salicola,,W,,, ,,"25 km WNW of Petrusville, South Africa",,,,
L. salicola,C322,FALSE,salicola,,W,,, ,,"20 km SW of Luckhoff, South Africa",,,,
L. salicola,C351,FALSE,salicola,,W,,, ,,"10 km W of Luckhoff, South Africa",,,,
L. salicola,C353,FALSE,salicola,,W,,, ,,"15 km WNW of Luckhoff, South Africa",,,,
L. salicola 'Malachite',C351A,FALSE,salicola,,W,,,,,"TL: 10 km W of Luckhoff, South Africa",,'Malachite',,'Malachite'
L. salicola (maculate Form),C086,TRUE,salicola,,W,,,,(maculate Form),"35 km SE of Hopetown, South Africa",,,,
L. schwantesii ssp. gebseri,C165,FALSE,schwantesii,,Y,,ssp. gebseri, ,,"TL: 70 km S of Maltahöhe, Namibia",,,,
L. schwantesii ssp. schwantesii v. marthae,C148,FALSE,schwantesii,,Y,,ssp. schwantesii,v. marthae,,"60 km SSE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. marthae,C249,FALSE,schwantesii,,Y,,ssp. schwantesii,v. marthae,,"TL: 60 km SSE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. marthae,C299,FALSE,schwantesii,,Y,,ssp. schwantesii,v. marthae,,"120 km SSE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. marthae,C411,FALSE,schwantesii,,Y,,ssp. schwantesii,v. marthae,,"75 km SE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. rugosa,C192,FALSE,schwantesii,,Y,,ssp. schwantesii,v. rugosa,,"40 km NW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. rugosa,C247,FALSE,schwantesii,,Y,,ssp. schwantesii,v. rugosa,,"TL: 40 km NW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C076,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"70 km W of Maltahöhe, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C077,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"Near Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C079,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"25 km SW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C080,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"30 km SW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C106,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"80 km W of Maltahöhe, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C143B,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"60 km NNE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C145,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"55 km NE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C146,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"55 km NE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C164,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"25 km SW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C185,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"Near Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C190,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"70 km SW of Maltahöhe, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C191,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"60 km NW of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C211,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"10 km SE of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii,C265,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"45 km N of Helmeringhausen, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii (grey Form),C144,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,(grey Form),"55 km NNE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii (grey Form),C250,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,(grey Form),"120 km SE of Aus, Namibia",,,,
L. schwantesii ssp. schwantesii v. schwantesii (syn. gulielmi),C184,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"TL: 10 km NW of Helmeringhausen, Namibia",,,(syn. gulielmi),(syn. gulielmi)
L. schwantesii ssp. schwantesii v. schwantesii (syn. kuibisensis),C150,FALSE,schwantesii,,Y,,ssp. schwantesii,v. schwantesii,,"25 km E of Aus, Namibia",,,(syn. kuibisensis),(syn. kuibisensis)
L. schwantesii ssp. schwantesii v. urikosensis,C083,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"Near Bethanien, Namibia",,,,
L. schwantesii ssp. schwantesii v. urikosensis,C105,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"TL: 100 km NW of Maltahöhe, Namibia",,,,
L. schwantesii ssp. schwantesii v. urikosensis (syn. christinae),C074,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"50 km W of Maltahöhe, Namibia",,,(syn. christinae),(syn. christinae)
L. schwantesii ssp. schwantesii v. urikosensis (syn. christinae),C107,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"20 km W of Maltahöhe, Namibia",,,(syn. christinae),(syn. christinae)
L. schwantesii ssp. schwantesii v. urikosensis (syn. christinae),C210,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"TL: 45 km W of Maltahöhe, Namibia",,,(syn. christinae),(syn. christinae)
L. schwantesii ssp. schwantesii v. urikosensis (syn. kunjasensis),C186,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"5 km NE of Helmeringhausen, Namibia",,,(syn. kunjasensis),(syn. kunjasensis)
L. schwantesii ssp. schwantesii v. urikosensis (syn. kunjasensis),C248,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"15 km NE of Helmeringhausen, Namibia",,,(syn. kunjasensis),(syn. kunjasensis)
L. schwantesii ssp. schwantesii v. urikosensis (syn. nutupsdriftensis),C075,FALSE,schwantesii,,Y,,ssp. schwantesii,v. urikosensis,,"TL: 35 km W of Maltahöhe, Namibia",,,(syn. nutupsdriftensis),(syn. nutupsdriftensis)
L. steineckeana,C388,FALSE,steineckeana,,Y,,, ,,Not Documented,,,,
L. terricolor,C130,FALSE,terricolor,,Y,,, ,,"30 km SW of Rietbron, South Africa",,,,
L. terricolor (syn. localis),C132,FALSE,terricolor,,Y,,, ,,"TL: 40 km E of Laingsburg, South Africa",,,,
L. terricolor,C345,FALSE,terricolor,,Y,,, ,,"30 km WNW of Prince Albert Road, South Africa",,,,
