10728		Haworthia	truncata	Lyndsey			
10729		Haworthia	truncata	Lyndsey			
1072A		Haworthia	truncata	Lyndsey			
1072B	Ukimo	Haworthia	truncata	Adam R.			
1072C		Haworthia	truncata	Kambroo			nice lines
1072D	Hakutsuru	Haworthia	truncata	Iryna			
1072E		Haworthia	truncata	Tanya < SH			dwarf clone
1072F	Beluga	Haworthia	truncata	Adam R.			
10730	Kiganjou	Haworthia	truncata	Melanie W.			
10731	Kyohou	Haworthia	truncata	Melanie W.			
10732		Haworthia	truncata	Tanya < Nishi	Kurasa hybrid		
10733	Platinum Ginban	Haworthia	truncata	Adam R. < Saki			
10734	Dragon Gate	Haworthia	truncata	Adam R.			
10735		Haworthia	truncata	Melanie W.			
10736	Daisangen	Haworthia	truncata	Iryna			
10737	KF 2904	Haworthia	truncata	Karsten F.			
10738	Araiso	Haworthia	truncata	Melanie W.			
10739	Seven Changing Color	Haworthia	truncata	Melanie W.			
1073A		Haworthia	truncata	Tanya < Nishi			
1073B	Denkei	Haworthia	truncata	Lyndsey			
1073C	Thick White Jade  Fan	Haworthia	truncata	Sun Love			43PE765
1073D	Kessaku	Haworthia	truncata	Adam R.			
1073E	Ten Zen	Haworthia	truncata	Melanie W.			
1073F		Haworthia	truncata	Tanya < SH			Japenese seed
10740		Haworthia	truncata	Soloman N. < Japan			
10741	Blizzard	Haworthia	truncata	Adam R.			
10742		Haworthia	truncata	Iryna			
10743		Haworthia	truncata	Melanie W.			
10744		Haworthia	truncata	Renny			
10745	FST-188	Haworthia	truncata	Tanya	Kukuya hybrid		
10746		Haworthia	truncata	Melanie W.	Arashi hybrid		
10747		Haworthia	truncata	Matthew M. < Japan			
10748	Ryumon	Haworthia	truncata	Kanouro			TC
10749		Haworthia	truncata	Irving N.			
1074A		Haworthia	truncata	Kris T.			
10801	GM 695	Haworthia	groenewaldii	IB		Buffeljagsrivier	
10802	GM 695	Haworthia	groenewaldii	IB		Buffeljagsrivier	
10803	MBB	Haworthia	groenewaldii	JIL		Buffeljagsrivier, SW	
10804	MBB	Haworthia	groenewaldii	JIL		near Buffeljagsrivier, TL	
10805	GM 695	Haworthia	groenewaldii	JIL		near Buffeljagsrivier, TL (GM selected plants)	
10806		Haworthia	groenewaldii	Haworthialand		Mullermus, Buffeljagsrivier	
10901	GM 618	Haworthia	picta aff.	IB		Aasvoelsvallei, NW of Herbertsdale	
10A01	MBB 7032	Haworthia	quimutica	IB		Rietfontein	
10A02	MBB 6650	Haworthia	quimutica	IB		Diepkloof, 1 km SE of Heidelberg	
10B01	DMC 10246	Haworthia	esterhuizenii	IB		TL, E of Albertinia	
10B02	DMC 10246	Haworthia	esterhuizenii	IB		TL, E of Albertinia	
10B03	GM 320	Haworthia	esterhuizenii	IB		Aasvoelberg, opposite Keurfontein siding, 10 km NNE of Albertinia	
10B04	DP 94-01	Haworthia	esterhuizenii	IB		TL, E of Albertinia	
10B05		Haworthia	esterhuizenii	C&D			
10C01	MBB 6651	Haworthia	atrofusca	IB		3 km S of Riversdale	
10D01	VDV 445	Haworthia	bayeri 'indigoa'	IB		E of Ezeljachtpoort, 28 km NEN of George	
